Souřadnice WGS84 pro GEO:

STAM:    50.162332970   16.947761364   603.4697
ZE34K:   50.203435332   16.915354071   676.0946
ZE37K:   50.216100357   16.921553431   740.6118
ZE43K:   50.219690777   16.925238705   828.3884
ZE44K:   50.223026214   16.923632842   845.4213
ZE33.1K: 50.198561996   16.917519461   658.5619
ZE35.1B: 50.208550278   16.919424341   699.4799
ZE36.1B: 50.211020924   16.920657007   711.6676
ZE39.1K: 50.218173734   16.925668069   771.6203
MO34K:   50.203435394   16.915354048   676.0889
MO37K:   50.216100138   16.921553594   740.6979
MO43K:   50.219690811   16.925238705   828.4473
MO44K:   50.223026084   16.923632437   845.4061
MO33.1K: 50.198561978   16.917519612   658.5805
MO35.1B: 50.208550043   16.919424397   699.4320
MO36.1B: 50.211020935   16.920656683   711.7036
MO39.1K: 50.218174003   16.925667706   771.6566
ZL1001K: 50.193389927   16.919157787   643.4787
ZL1002K: 50.190643622   16.919345029   635.6977
ZL1003K: 50.186655344   16.921240283   624.8572
ZL1004K: 50.180467655   16.925359149   610.1911
ZL1005K: 50.179158787   16.932854631   598.3384
ZL1006K: 50.176504971   16.939534398   588.4951
ZL1007K: 50.167513962   16.945161394   582.7106
ZL1008K: 50.164087503   16.946248700   568.2806
