bod,odecet_m,vzdalenost_m
331,1.047,
1,1.004,14.5852
1,1.003,14.5852
331,1.046,14.5852
1,2.04,14.5852
1,2.02,14.5852
2,2.045,6.9274
2,2.045,6.9274
1,2.02,6.9274
2,2.033,6.9274
3,2.013,11.1309
3,2.013,11.1309
2,2.032,11.1309
3,2.007,11.1309
4,2.003,9.205
4,2.003,9.205
3,2.007,9.205
4,2.012,9.205
5,2.008,9.0334
5,2.007,9.0334
4,2.011,9.0334
5,2.017,9.0334
6,2.014,8.8178
6,2.014,8.8178
5,2.017,8.8178
6,2.029,8.8178
6,2.013,8.8178
7,2.034,9.426
7,2.034,9.426
6,2.013,9.426
7,1.991,9.426
8,2.047,8.5159
8,2.047,8.5159
7,1.991,8.5159
8,2.009,8.5159
9,1.992,10.6564
9,1.992,10.6564
8,2.008,10.6564
9,1.986,10.6564
10,1.985,9.0489
10,1.985,9.0489
9,1.986,9.0489
10,1.985,9.0467
10,1.986,9.0467
9,1.986,9.0467
10,1.998,9.0467
11,1.984,8.7537
11,1.985,8.7537
10,1.998,8.7537
11,2.002,8.7537
12,1.991,8.5942
12,1.991,8.5942
11,2.004,8.5942
12,1.605,8.5942
13,1.588,10.0742
13,1.588,10.0742
12,1.605,10.0742
13,1.588,10.0742
14,1.578,7.4417
14,1.578,7.4417
13,1.588,7.4417
14,1.576,7.4417
15,1.599,6.8135
15,1.599,6.8135
14,1.575,6.8135
15,1.599,6.8124
15,1.6,6.8124
14,1.575,6.8124
15,1.383,6.8124
341,1.403,10.0365
341,1.403,10.0365
15,1.383,10.0365
341,1.403,10.0365
16,1.383,18.1585
16,1.383,18.1585
341,1.404,18.1585
16,1.383,18.1605
16,1.382,18.1605
341,1.404,18.1605
16,1.594,18.1605
17,1.58,23.5999
17,1.581,23.5999
16,1.594,23.5999
17,1.581,23.5993
17,1.581,23.5993
16,1.594,23.5993
17,1.585,23.5993
18,1.581,19.8893
18,1.58,19.8893
17,1.584,19.8893
18,1.585,19.8893
19,1.613,19.986
19,1.609,19.986
18,1.584,19.986
19,1.612,19.9848
19,1.609,19.9848
18,1.585,19.9848
19,1.608,20.0408
19,1.608,20.0408
18,1.585,20.0408
19,1.993,20.0408
20,2.003,20.8916
20,2.003,20.8916
19,1.993,20.8916
20,1.985,20.8916
21,1.996,21.3302
21,1.996,21.3302
20,1.985,21.3302
21,1.99,21.3302
22,1.98,20.7006
22,1.98,20.7006
21,1.99,20.7006
22,1.981,20.7008
22,1.98,20.7008
21,1.99,20.7008
22,1.999,20.7008
23,2.002,21.1232
23,2.002,21.1232
22,2.0,21.1232
23,2.002,21.1257
23,2.002,21.1257
22,2.0,21.1257
23,2.045,21.1257
24,1.992,20.1113
24,1.991,20.1113
23,2.045,20.1113
24,1.992,20.1116
24,1.992,20.1116
23,2.044,20.1116
24,2.033,20.1116
24,2.018,20.1116
25,2.027,21.3447
25,2.028,21.3447
24,2.018,21.3447
25,2.013,21.3447
26,2.017,21.2571
26,2.017,21.2571
25,2.013,21.2571
26,2.017,21.2578
26,2.017,21.2578
25,2.014,21.2578
26,2.004,21.2578
27,2.01,21.8684
27,2.01,21.8684
26,2.005,21.8684
27,2.005,21.8684
28,2.005,20.4824
28,2.006,20.4824
27,2.006,20.4824
28,2.004,20.4824
29,2.041,21.24
29,2.041,21.24
28,2.004,21.24
29,2.04,21.24
30,2.022,21.5009
30,2.041,21.5009
